element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
"fineract-loan/src/main/java/org/apache/fineract/portfolio/loanaccount/loanschedule/domain/LoanApplicationTerms.java\public assembleFrom(currency ApplicationCurrency, loanTermFrequency Integer, loanTermPeriodFrequencyType PeriodFrequencyType, numberOfRepayments Integer, repaymentEvery Integer, repaymentPeriodFrequencyType PeriodFrequencyType, nthDay Integer, weekDayType DayOfWeekType, amortizationMethod AmortizationMethod, interestMethod InterestMethod, interestRatePerPeriod BigDecimal, interestRatePeriodFrequencyType PeriodFrequencyType, annualNominalInterestRate BigDecimal, interestCalculationPeriodMethod InterestCalculationPeriodMethod, allowPartialPeriodInterestCalcualtion boolean, principalMoney Money, expectedDisbursementDate LocalDate, repaymentsStartingFromDate LocalDate, calculatedRepaymentsStartingFromDate LocalDate, graceOnPrincipalPayment Integer, recurringMoratoriumOnPrincipalPeriods Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, interestChargedFromDate LocalDate, inArrearsTolerance Money, multiDisburseLoan boolean, emiAmount BigDecimal, disbursementDatas List<DisbursementData>, maxOutstandingBalance BigDecimal, graceOnArrearsAgeing Integer, daysInMonthType DaysInMonthType, daysInYearType DaysInYearType, isInterestRecalculationEnabled boolean, recalculationFrequencyType RecalculationFrequencyType, restCalendarInstance CalendarInstance, interestRecalculationCompoundingMethod InterestRecalculationCompoundingMethod, compoundingCalendarInstance CalendarInstance, compoundingFrequencyType RecalculationFrequencyType, principalThresholdForLastInstalment BigDecimal, installmentAmountInMultiplesOf Integer, preClosureInterestCalculationStrategy LoanPreClosureInterestCalculationStrategy, loanCalendar Calendar, approvedAmount BigDecimal, loanTermVariations List<LoanTermVariationsData>, isInterestChargedFromDateSameAsDisbursalDateEnabled Boolean, numberOfDays Integer, isSkipRepaymentOnFirstDayOfMonth boolean, holidayDetailDTO HolidayDetailDTO, allowCompoundingOnEod boolean, isEqualAmortization boolean, isInterestToBeRecoveredFirstWhenGreaterThanEMI boolean, fixedPrincipalPercentagePerInstallment BigDecimal, isPrincipalCompoundingDisabledForOverdueLoans boolean, enableDownPayment Boolean, disbursedAmountPercentageForDownPayment BigDecimal, isAutoRepaymentForDownPaymentEnabled Boolean, repaymentStartDateType RepaymentStartDateType, submittedOnDate LocalDate, loanScheduleType LoanScheduleType, loanScheduleProcessingType LoanScheduleProcessingType) : LoanApplicationTerms",2024/3/14 1:59,2024/1/25 17:33,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8040,Remove Parameter,a77ece75f80c793a3db6f2e038a17f5c000fa9910,b2685ce9cf9360a6503bcf76e081d6426de9c804,a77ece75f80c793a3db6f2e038a17f5c000fa991,b2685ce9cf9360a6503bcf76e081d6426de9c8040a77ece75f80c793a3db6f2e038a17f5c000fa9910
"fineract-loan/src/main/java/org/apache/fineract/portfolio/loanaccount/loanschedule/domain/LoanApplicationTerms.java\private LoanApplicationTerms(currency ApplicationCurrency, loanTermFrequency Integer, loanTermPeriodFrequencyType PeriodFrequencyType, numberOfRepayments Integer, repaymentEvery Integer, repaymentPeriodFrequencyType PeriodFrequencyType, nthDay Integer, weekDayType DayOfWeekType, amortizationMethod AmortizationMethod, interestMethod InterestMethod, interestRatePerPeriod BigDecimal, interestRatePeriodFrequencyType PeriodFrequencyType, annualNominalInterestRate BigDecimal, interestCalculationPeriodMethod InterestCalculationPeriodMethod, allowPartialPeriodInterestCalcualtion boolean, principal Money, expectedDisbursementDate LocalDate, repaymentsStartingFromDate LocalDate, calculatedRepaymentsStartingFromDate LocalDate, principalGrace Integer, recurringMoratoriumOnPrincipalPeriods Integer, interestPaymentGrace Integer, interestChargingGrace Integer, interestChargedFromDate LocalDate, inArrearsTolerance Money, multiDisburseLoan boolean, emiAmount BigDecimal, disbursementDatas List<DisbursementData>, maxOutstandingBalance BigDecimal, graceOnArrearsAgeing Integer, daysInMonthType DaysInMonthType, daysInYearType DaysInYearType, isInterestRecalculationEnabled boolean, rescheduleStrategyMethod LoanRescheduleStrategyMethod, interestRecalculationCompoundingMethod InterestRecalculationCompoundingMethod, restCalendarInstance CalendarInstance, recalculationFrequencyType RecalculationFrequencyType, compoundingCalendarInstance CalendarInstance, compoundingFrequencyType RecalculationFrequencyType, principalThresholdForLastInstalment BigDecimal, installmentAmountInMultiplesOf Integer, preClosureInterestCalculationStrategy LoanPreClosureInterestCalculationStrategy, loanCalendar Calendar, approvedAmount BigDecimal, loanTermVariations List<LoanTermVariationsData>, calendarHistoryDataWrapper CalendarHistoryDataWrapper, isInterestChargedFromDateSameAsDisbursalDateEnabled Boolean, numberOfDays Integer, isSkipRepaymentOnFirstDayOfMonth boolean, holidayDetailDTO HolidayDetailDTO, allowCompoundingOnEod boolean, isEqualAmortization boolean, isFirstRepaymentDateAllowedOnHoliday boolean, isInterestToBeRecoveredFirstWhenGreaterThanEMI boolean, fixedPrincipalPercentagePerInstallment BigDecimal, isPrincipalCompoundingDisabledForOverdueLoans boolean, isDownPaymentEnabled boolean, disbursedAmountPercentageForDownPayment BigDecimal, isAutoRepaymentForDownPaymentEnabled boolean, repaymentStartDateType RepaymentStartDateType, submittedOnDate LocalDate, loanScheduleType LoanScheduleType, loanScheduleProcessingType LoanScheduleProcessingType)",2024/3/14 1:59,2024/1/25 17:33,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8041,Remove Parameter,a77ece75f80c793a3db6f2e038a17f5c000fa9911,b2685ce9cf9360a6503bcf76e081d6426de9c804,a77ece75f80c793a3db6f2e038a17f5c000fa991,b2685ce9cf9360a6503bcf76e081d6426de9c8041a77ece75f80c793a3db6f2e038a17f5c000fa9911
"fineract-loan/src/main/java/org/apache/fineract/portfolio/loanproduct/domain/LoanProduct.java\public LoanProduct(fund Fund, transactionProcessingStrategyCode String, paymentAllocationRules List<LoanProductPaymentAllocationRule>, creditAllocationRules List<LoanProductCreditAllocationRule>, name String, shortName String, description String, currency MonetaryCurrency, defaultPrincipal BigDecimal, defaultMinPrincipal BigDecimal, defaultMaxPrincipal BigDecimal, defaultNominalInterestRatePerPeriod BigDecimal, defaultMinNominalInterestRatePerPeriod BigDecimal, defaultMaxNominalInterestRatePerPeriod BigDecimal, interestPeriodFrequencyType PeriodFrequencyType, defaultAnnualNominalInterestRate BigDecimal, interestMethod InterestMethod, interestCalculationPeriodMethod InterestCalculationPeriodMethod, considerPartialPeriodInterest boolean, repayEvery Integer, repaymentFrequencyType PeriodFrequencyType, defaultNumberOfInstallments Integer, defaultMinNumberOfInstallments Integer, defaultMaxNumberOfInstallments Integer, graceOnPrincipalPayment Integer, recurringMoratoriumOnPrincipalPeriods Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, amortizationMethod AmortizationMethod, inArrearsTolerance BigDecimal, charges List<Charge>, accountingRuleType AccountingRuleType, includeInBorrowerCycle boolean, startDate LocalDate, closeDate LocalDate, externalId ExternalId, useBorrowerCycle boolean, loanProductBorrowerCycleVariations Set<LoanProductBorrowerCycleVariations>, multiDisburseLoan boolean, maxTrancheCount Integer, outstandingLoanBalance BigDecimal, graceOnArrearsAgeing Integer, overdueDaysForNPA Integer, daysInMonthType DaysInMonthType, daysInYearType DaysInYearType, isInterestRecalculationEnabled boolean, productInterestRecalculationDetails LoanProductInterestRecalculationDetails, minimumDaysBetweenDisbursalAndFirstRepayment Integer, holdGuarantorFunds boolean, loanProductGuaranteeDetails LoanProductGuaranteeDetails, principalThresholdForLastInstallment BigDecimal, accountMovesOutOfNPAOnlyOnArrearsCompletion boolean, canDefineEmiAmount boolean, installmentAmountInMultiplesOf Integer, loanProductConfigurableAttributes LoanProductConfigurableAttributes, isLinkedToFloatingInterestRates Boolean, floatingRate FloatingRate, interestRateDifferential BigDecimal, minDifferentialLendingRate BigDecimal, maxDifferentialLendingRate BigDecimal, defaultDifferentialLendingRate BigDecimal, isFloatingInterestRateCalculationAllowed Boolean, isVariableInstallmentsAllowed Boolean, minimumGapBetweenInstallments Integer, maximumGapBetweenInstallments Integer, syncExpectedWithDisbursementDate boolean, canUseForTopup boolean, isEqualAmortization boolean, rates List<Rate>, fixedPrincipalPercentagePerInstallment BigDecimal, disallowExpectedDisbursements boolean, allowApprovedDisbursedAmountsOverApplied boolean, overAppliedCalculationType String, overAppliedNumber Integer, dueDaysForRepaymentEvent Integer, overDueDaysForRepaymentEvent Integer, enableDownPayment boolean, disbursedAmountPercentageForDownPayment BigDecimal, enableAutoRepaymentForDownPayment boolean, repaymentStartDateType RepaymentStartDateType, enableInstallmentLevelDelinquency boolean, loanScheduleType LoanScheduleType, loanScheduleProcessingType LoanScheduleProcessingType)",2024/3/14 1:59,2024/1/26 3:22,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8042,Add Parameter,b01ccc461986fa9cc78152f4eb6c8bea3c2db3042,b2685ce9cf9360a6503bcf76e081d6426de9c804,b01ccc461986fa9cc78152f4eb6c8bea3c2db304,b2685ce9cf9360a6503bcf76e081d6426de9c8042b01ccc461986fa9cc78152f4eb6c8bea3c2db3042
"fineract-loan/src/main/java/org/apache/fineract/portfolio/loanproduct/domain/LoanProductRelatedDetail.java\public createFrom(currency MonetaryCurrency, principal BigDecimal, nominalInterestRatePerPeriod BigDecimal, interestRatePeriodFrequencyType PeriodFrequencyType, nominalAnnualInterestRate BigDecimal, interestMethod InterestMethod, interestCalculationPeriodMethod InterestCalculationPeriodMethod, allowPartialPeriodInterestCalcualtion boolean, repaymentEvery Integer, repaymentPeriodFrequencyType PeriodFrequencyType, numberOfRepayments Integer, graceOnPrincipalPayment Integer, recurringMoratoriumOnPrincipalPeriods Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, amortizationMethod AmortizationMethod, inArrearsTolerance BigDecimal, graceOnArrearsAgeing Integer, daysInMonthType Integer, daysInYearType Integer, isInterestRecalculationEnabled boolean, isEqualAmortization boolean, enableDownPayment boolean, disbursedAmountPercentageForDownPayment BigDecimal, enableAutoRepaymentForDownPayment boolean, loanScheduleType LoanScheduleType, loanScheduleProcessingType LoanScheduleProcessingType) : LoanProductRelatedDetail",2024/3/14 1:59,2024/1/25 17:33,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8043,Remove Parameter,a77ece75f80c793a3db6f2e038a17f5c000fa9913,b2685ce9cf9360a6503bcf76e081d6426de9c804,a77ece75f80c793a3db6f2e038a17f5c000fa991,b2685ce9cf9360a6503bcf76e081d6426de9c8043a77ece75f80c793a3db6f2e038a17f5c000fa9913
"fineract-loan/src/main/java/org/apache/fineract/portfolio/loanproduct/domain/LoanProductRelatedDetail.java\public LoanProductRelatedDetail(currency MonetaryCurrency, defaultPrincipal BigDecimal, defaultNominalInterestRatePerPeriod BigDecimal, interestPeriodFrequencyType PeriodFrequencyType, defaultAnnualNominalInterestRate BigDecimal, interestMethod InterestMethod, interestCalculationPeriodMethod InterestCalculationPeriodMethod, allowPartialPeriodInterestCalcualtion boolean, repayEvery Integer, repaymentFrequencyType PeriodFrequencyType, defaultNumberOfRepayments Integer, graceOnPrincipalPayment Integer, recurringMoratoriumOnPrincipalPeriods Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, amortizationMethod AmortizationMethod, inArrearsTolerance BigDecimal, graceOnArrearsAgeing Integer, daysInMonthType Integer, daysInYearType Integer, isInterestRecalculationEnabled boolean, isEqualAmortization boolean, enableDownPayment boolean, disbursedAmountPercentageForDownPayment BigDecimal, enableAutoRepaymentForDownPayment boolean, loanScheduleType LoanScheduleType, loanScheduleProcessingType LoanScheduleProcessingType)",2024/3/14 1:59,2024/1/25 17:33,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8044,Remove Parameter,a77ece75f80c793a3db6f2e038a17f5c000fa9914,b2685ce9cf9360a6503bcf76e081d6426de9c804,a77ece75f80c793a3db6f2e038a17f5c000fa991,b2685ce9cf9360a6503bcf76e081d6426de9c8044a77ece75f80c793a3db6f2e038a17f5c000fa9914
"fineract-provider/src/main/java/org/apache/fineract/portfolio/loanaccount/data/LoanAccountData.java\public importInstanceIndividual(loanTypeEnumOption EnumOptionData, clientId Long, productId Long, loanOfficerId Long, submittedOnDate LocalDate, fundId Long, principal BigDecimal, numberOfRepayments Integer, repaymentEvery Integer, repaidEveryFrequencyEnums EnumOptionData, loanTermFrequency Integer, loanTermFrequencyTypeEnum EnumOptionData, nominalInterestRate BigDecimal, expectedDisbursementDate LocalDate, amortizationEnumOption EnumOptionData, interestMethodEnum EnumOptionData, interestCalculationPeriodTypeEnum EnumOptionData, inArrearsTolerance BigDecimal, transactionProcessingStrategyCode String, graceOnPrincipalPayment Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, interestChargedFromDate LocalDate, repaymentsStartingFromDate LocalDate, rowIndex Integer, externalId ExternalId, groupId Long, charges Collection<LoanChargeData>, linkAccountId String, locale String, dateFormat String, loanCollateralManagementData List<LoanCollateralManagementData>) : LoanAccountData",2024/3/14 1:59,2022/12/15 21:25,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8045,Change Parameter Type,2532c58cbcc43a7a7dc3f98d690457f1987e46f822,b2685ce9cf9360a6503bcf76e081d6426de9c804,2532c58cbcc43a7a7dc3f98d690457f1987e46f8,b2685ce9cf9360a6503bcf76e081d6426de9c80452532c58cbcc43a7a7dc3f98d690457f1987e46f822
"fineract-provider/src/main/java/org/apache/fineract/portfolio/loanaccount/data/LoanAccountData.java\public importInstanceGroup(loanTypeEnumOption EnumOptionData, groupIdforGroupLoan Long, productId Long, loanOfficerId Long, submittedOnDate LocalDate, fundId Long, principal BigDecimal, numberOfRepayments Integer, repaidEvery Integer, repaidEveryFrequencyEnums EnumOptionData, loanTermFrequency Integer, loanTermFrequencyTypeEnum EnumOptionData, nominalInterestRate BigDecimal, amortizationEnumOption EnumOptionData, interestMethodEnum EnumOptionData, interestCalculationPeriodEnum EnumOptionData, arrearsTolerance BigDecimal, transactionProcessingStrategyCode String, graceOnPrincipalPayment Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, interestChargedFromDate LocalDate, repaymentsStartingFromDate LocalDate, rowIndex Integer, externalId ExternalId, linkAccountId String, locale String, dateFormat String) : LoanAccountData",2024/3/14 1:59,2022/12/15 21:25,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8046,Change Parameter Type,2532c58cbcc43a7a7dc3f98d690457f1987e46f823,b2685ce9cf9360a6503bcf76e081d6426de9c804,2532c58cbcc43a7a7dc3f98d690457f1987e46f8,b2685ce9cf9360a6503bcf76e081d6426de9c80462532c58cbcc43a7a7dc3f98d690457f1987e46f823
"fineract-provider/src/main/java/org/apache/fineract/portfolio/loanaccount/data/LoanAccountData.java\public basicLoanDetails(id Long, accountNo String, status LoanStatusEnumData, externalId ExternalId, clientId Long, clientAccountNo String, clientName String, clientOfficeId Long, clientExternalId ExternalId, group GroupGeneralData, loanType EnumOptionData, loanProductId Long, loanProductName String, loanProductDescription String, isLoanProductLinkedToFloatingRate boolean, fundId Long, fundName String, loanPurposeId Long, loanPurposeName String, loanOfficerId Long, loanOfficerName String, currencyData CurrencyData, proposedPrincipal BigDecimal, principal BigDecimal, approvedPrincipal BigDecimal, netDisbursalAmount BigDecimal, totalOverpaid BigDecimal, inArrearsTolerance BigDecimal, termFrequency Integer, termPeriodFrequencyType EnumOptionData, numberOfRepayments Integer, repaymentEvery Integer, repaymentFrequencyType EnumOptionData, repaymentFrequencyNthDayType EnumOptionData, repaymentFrequencyDayOfWeekType EnumOptionData, transactionStrategy String, transactionStrategyName String, amortizationType EnumOptionData, interestRatePerPeriod BigDecimal, interestRateFrequencyType EnumOptionData, annualInterestRate BigDecimal, interestType EnumOptionData, isFloatingInterestRate boolean, interestRateDifferential BigDecimal, interestCalculationPeriodType EnumOptionData, allowPartialPeriodInterestCalcualtion Boolean, expectedFirstRepaymentOnDate LocalDate, graceOnPrincipalPayment Integer, recurringMoratoriumOnPrincipalPeriods Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, interestChargedFromDate LocalDate, timeline LoanApplicationTimelineData, loanSummary LoanSummaryData, feeChargesDueAtDisbursementCharged BigDecimal, syncDisbursementWithMeeting Boolean, loanCounter Integer, loanProductCounter Integer, multiDisburseLoan Boolean, canDefineInstallmentAmount Boolean, fixedEmiAmont BigDecimal, outstandingLoanBalance BigDecimal, inArrears Boolean, graceOnArrearsAgeing Integer, isNPA Boolean, daysInMonthType EnumOptionData, daysInYearType EnumOptionData, isInterestRecalculationEnabled boolean, interestRecalculationData LoanInterestRecalculationData, createStandingInstructionAtDisbursement Boolean, isVariableInstallmentsAllowed Boolean, minimumGap Integer, maximumGap Integer, subStatus EnumOptionData, canUseForTopup boolean, isTopup boolean, closureLoanId Long, closureLoanAccountNo String, topupAmount BigDecimal, isEqualAmortization boolean, fixedPrincipalPercentagePerInstallment BigDecimal, delinquencyRange DelinquencyRangeData, disallowExpectedDisbursements boolean, fraud boolean, lastClosedBusinessDate LocalDate, overpaidOnDate LocalDate, chargedOff boolean, enableDownPayment boolean, disbursedAmountPercentageForDownPayment BigDecimal, enableAutoRepaymentForDownPayment boolean, enableInstallmentLevelDelinquency boolean, loanScheduleType EnumOptionData, loanScheduleProcessingType EnumOptionData) : LoanAccountData",2024/3/14 1:59,2024/1/25 17:33,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8047,Remove Parameter,a77ece75f80c793a3db6f2e038a17f5c000fa9915,b2685ce9cf9360a6503bcf76e081d6426de9c804,a77ece75f80c793a3db6f2e038a17f5c000fa991,b2685ce9cf9360a6503bcf76e081d6426de9c8047a77ece75f80c793a3db6f2e038a17f5c000fa9915
"fineract-provider/src/main/java/org/apache/fineract/portfolio/loanproduct/data/LoanProductData.java\public LoanProductData(id Long, name String, shortName String, description String, currency CurrencyData, principal BigDecimal, minPrincipal BigDecimal, maxPrincipal BigDecimal, tolerance BigDecimal, numberOfRepayments Integer, minNumberOfRepayments Integer, maxNumberOfRepayments Integer, repaymentEvery Integer, interestRatePerPeriod BigDecimal, minInterestRatePerPeriod BigDecimal, maxInterestRatePerPeriod BigDecimal, annualInterestRate BigDecimal, repaymentFrequencyType EnumOptionData, interestRateFrequencyType EnumOptionData, amortizationType EnumOptionData, interestType EnumOptionData, interestCalculationPeriodType EnumOptionData, allowPartialPeriodInterestCalculation Boolean, fundId Long, fundName String, transactionProcessingStrategyCode String, transactionProcessingStrategyName String, graceOnPrincipalPayment Integer, recurringMoratoriumOnPrincipalPeriods Integer, graceOnInterestPayment Integer, graceOnInterestCharged Integer, charges Collection<ChargeData>, accountingType EnumOptionData, includeInBorrowerCycle boolean, useBorrowerCycle boolean, startDate LocalDate, closeDate LocalDate, status String, externalId String, principalVariations Collection<LoanProductBorrowerCycleVariationData>, interestRateVariations Collection<LoanProductBorrowerCycleVariationData>, numberOfRepaymentVariations Collection<LoanProductBorrowerCycleVariationData>, multiDisburseLoan Boolean, maxTrancheCount Integer, outstandingLoanBalance BigDecimal, disallowExpectedDisbursements Boolean, allowApprovedDisbursedAmountsOverApplied Boolean, overAppliedCalculationType String, overAppliedNumber Integer, graceOnArrearsAgeing Integer, overdueDaysForNPA Integer, daysInMonthType EnumOptionData, daysInYearType EnumOptionData, isInterestRecalculationEnabled boolean, interestRecalculationData LoanProductInterestRecalculationData, minimumDaysBetweenDisbursalAndFirstRepayment Integer, holdGuaranteeFunds boolean, loanProductGuaranteeData LoanProductGuaranteeData, principalThresholdForLastInstallment BigDecimal, accountMovesOutOfNPAOnlyOnArrearsCompletion boolean, canDefineInstallmentAmount boolean, installmentAmountInMultiplesOf Integer, allowAttributeOverrides LoanProductConfigurableAttributes, isLinkedToFloatingInterestRates boolean, floatingRateId Integer, floatingRateName String, interestRateDifferential BigDecimal, minDifferentialLendingRate BigDecimal, defaultDifferentialLendingRate BigDecimal, maxDifferentialLendingRate BigDecimal, isFloatingInterestRateCalculationAllowed boolean, isVariableInstallmentsAllowed boolean, minimumGapBetweenInstallments Integer, maximumGapBetweenInstallments Integer, syncExpectedWithDisbursementDate boolean, canUseForTopup boolean, isEqualAmortization boolean, rateOptions Collection<RateData>, rates Collection<RateData>, isRatesEnabled boolean, fixedPrincipalPercentagePerInstallment BigDecimal, delinquencyBucketOptions Collection<DelinquencyBucketData>, delinquencyBucket DelinquencyBucketData, dueDaysForRepaymentEvent Integer, overDueDaysForRepaymentEvent Integer, enableDownPayment boolean, disbursedAmountPercentageForDownPayment BigDecimal, enableAutoRepaymentForDownPayment boolean, paymentAllocation Collection<AdvancedPaymentData>, creditAllocation Collection<CreditAllocationData>, repaymentStartDateType EnumOptionData, enableInstallmentLevelDelinquency boolean, loanScheduleType EnumOptionData, loanScheduleProcessingType EnumOptionData)",2024/3/14 1:59,2024/1/31 16:25,Add Parameter,b2685ce9cf9360a6503bcf76e081d6426de9c8048,Add Parameter,cca520125baae6f80bbec87538e1f8293e6ad8334,b2685ce9cf9360a6503bcf76e081d6426de9c804,cca520125baae6f80bbec87538e1f8293e6ad833,b2685ce9cf9360a6503bcf76e081d6426de9c8048cca520125baae6f80bbec87538e1f8293e6ad8334
"integration-tests/src/test/java/org/apache/fineract/integrationtests/AdvancedPaymentAllocationLoanRepaymentScheduleTest.java\private applyForLoanApplication(clientId Long, loanProductId Integer, principal BigDecimal, loanTermFrequency int, repaymentAfterEvery int, numberOfRepayments int, interestRate BigDecimal, expectedDisbursementDate String, submittedOnDate String) : PostLoansResponse",2024/3/14 1:59,2023/12/8 17:10,Extract Method,b2685ce9cf9360a6503bcf76e081d6426de9c8049,Change Parameter Type,ae77d29be240f7239173f7996bc601006a6fc85f8,b2685ce9cf9360a6503bcf76e081d6426de9c804,ae77d29be240f7239173f7996bc601006a6fc85f,b2685ce9cf9360a6503bcf76e081d6426de9c8049ae77d29be240f7239173f7996bc601006a6fc85f8
"integration-tests/src/test/java/org/apache/fineract/integrationtests/LoanChargebackWithCreditAllocationsIntegrationTests.java\private applyAndApproveLoan(clientId Long, loanProductId Long, numberOfRepayments int) : Long",2024/3/9 0:10,2024/3/7 18:34,Remove Method Annotation,99f89b2d8acd2bcbe0afd245955b981b93f996e40,Extract Method,697449e7e742a9fac350890ff201741bb8bcd93c4,99f89b2d8acd2bcbe0afd245955b981b93f996e4,697449e7e742a9fac350890ff201741bb8bcd93c,99f89b2d8acd2bcbe0afd245955b981b93f996e40697449e7e742a9fac350890ff201741bb8bcd93c4
"integration-tests/src/test/java/org/apache/fineract/integrationtests/AdvancedPaymentAllocationLoanRepaymentScheduleTest.java\private validateRepaymentPeriod(loanDetails GetLoansLoanIdResponse, index Integer, principalDue double, principalPaid double, principalOutstanding double, paidInAdvance double, paidLate double) : void",2024/3/8 13:04,2023/10/31 15:15,Change Method Access Modifier,5ce69c19fe829b19d64c19f93c9ee6cc68e7a2145,Change Parameter Type,5d62cfef04dd800ae9ad2305c349765a3d94fcfd3,5ce69c19fe829b19d64c19f93c9ee6cc68e7a214,5d62cfef04dd800ae9ad2305c349765a3d94fcfd,5ce69c19fe829b19d64c19f93c9ee6cc68e7a21455d62cfef04dd800ae9ad2305c349765a3d94fcfd3
"integration-tests/src/test/java/org/apache/fineract/integrationtests/AdvancedPaymentAllocationLoanRepaymentScheduleTest.java\private validateRepaymentPeriod(loanDetails GetLoansLoanIdResponse, index Integer, principalDue double, principalPaid double, principalOutstanding double, paidInAdvance double, paidLate double) : void",2024/3/8 13:04,2023/10/31 15:15,Pull Up Method,5ce69c19fe829b19d64c19f93c9ee6cc68e7a2146,Change Parameter Type,5d62cfef04dd800ae9ad2305c349765a3d94fcfd3,5ce69c19fe829b19d64c19f93c9ee6cc68e7a214,5d62cfef04dd800ae9ad2305c349765a3d94fcfd,5ce69c19fe829b19d64c19f93c9ee6cc68e7a21465d62cfef04dd800ae9ad2305c349765a3d94fcfd3
"integration-tests/src/test/java/org/apache/fineract/integrationtests/AdvancedPaymentAllocationLoanRepaymentScheduleTest.java\private validateRepaymentPeriod(loanDetails GetLoansLoanIdResponse, index Integer, dueDate LocalDate, principalDue double, principalPaid double, principalOutstanding double, feeDue double, feePaid double, feeOutstanding double, penaltyDue double, penaltyPaid double, penaltyOutstanding double, interestDue double, interestPaid double, interestOutstanding double, paidInAdvance double, paidLate double) : void",2024/3/8 13:04,2023/11/7 23:48,Change Method Access Modifier,5ce69c19fe829b19d64c19f93c9ee6cc68e7a2147,Add Parameter,983f3d2da0909dddd6810810c2545992825fc1ce0,5ce69c19fe829b19d64c19f93c9ee6cc68e7a214,983f3d2da0909dddd6810810c2545992825fc1ce,5ce69c19fe829b19d64c19f93c9ee6cc68e7a2147983f3d2da0909dddd6810810c2545992825fc1ce0
"integration-tests/src/test/java/org/apache/fineract/integrationtests/AdvancedPaymentAllocationLoanRepaymentScheduleTest.java\private validateRepaymentPeriod(loanDetails GetLoansLoanIdResponse, index Integer, dueDate LocalDate, principalDue double, principalPaid double, principalOutstanding double, feeDue double, feePaid double, feeOutstanding double, penaltyDue double, penaltyPaid double, penaltyOutstanding double, interestDue double, interestPaid double, interestOutstanding double, paidInAdvance double, paidLate double) : void",2024/3/8 13:04,2023/11/7 23:48,Pull Up Method,5ce69c19fe829b19d64c19f93c9ee6cc68e7a2148,Add Parameter,983f3d2da0909dddd6810810c2545992825fc1ce0,5ce69c19fe829b19d64c19f93c9ee6cc68e7a214,983f3d2da0909dddd6810810c2545992825fc1ce,5ce69c19fe829b19d64c19f93c9ee6cc68e7a2148983f3d2da0909dddd6810810c2545992825fc1ce0
integration-tests/src/test/java/org/apache/fineract/integrationtests/BaseLoanIntegrationTest.java\principalAmount : double,2024/3/7 18:34,2023/11/14 21:00,Rename Parameter,697449e7e742a9fac350890ff201741bb8bcd93c0,Rename Parameter,35243ee70960b22901a18d2ac5795be439976e6b4,697449e7e742a9fac350890ff201741bb8bcd93c,35243ee70960b22901a18d2ac5795be439976e6b,697449e7e742a9fac350890ff201741bb8bcd93c035243ee70960b22901a18d2ac5795be439976e6b4
integration-tests/src/test/java/org/apache/fineract/integrationtests/BaseLoanIntegrationTest.java\principalAmount : double,2024/3/7 18:34,2023/11/14 21:00,Rename Parameter,697449e7e742a9fac350890ff201741bb8bcd93c0,Rename Parameter,35243ee70960b22901a18d2ac5795be439976e6b5,697449e7e742a9fac350890ff201741bb8bcd93c,35243ee70960b22901a18d2ac5795be439976e6b,697449e7e742a9fac350890ff201741bb8bcd93c035243ee70960b22901a18d2ac5795be439976e6b5
integration-tests/src/test/java/org/apache/fineract/integrationtests/BaseLoanIntegrationTest.java\principalAmount : double,2024/3/7 18:34,2023/11/14 21:00,Rename Parameter,697449e7e742a9fac350890ff201741bb8bcd93c0,Rename Parameter,35243ee70960b22901a18d2ac5795be439976e6b6,697449e7e742a9fac350890ff201741bb8bcd93c,35243ee70960b22901a18d2ac5795be439976e6b,697449e7e742a9fac350890ff201741bb8bcd93c035243ee70960b22901a18d2ac5795be439976e6b6
"integration-tests/src/test/java/org/apache/fineract/integrationtests/BaseLoanIntegrationTest.java\protected journalEntry(principalAmount double, account Account, type String) : Journal",2024/3/7 18:34,2023/11/30 23:27,Rename Parameter,697449e7e742a9fac350890ff201741bb8bcd93c0,Change Return Type,8505145fdec333d313bc179f89a1ce684ab893f21,697449e7e742a9fac350890ff201741bb8bcd93c,8505145fdec333d313bc179f89a1ce684ab893f2,697449e7e742a9fac350890ff201741bb8bcd93c08505145fdec333d313bc179f89a1ce684ab893f21
